"","MTurkID","round1score","round1_pay"
"2","A2M45YGLOWMO4N",20,1
"4","A3AGQ2G8QI59EG",24,1.2
"8","A1YI1H05AQ3ING",22,1.1
"9","A3HHHZF9N10QMQ",19,0.95
"13","A1QVNF19XSRSD7",1,0.05
"18","A18QKM5Z69TLS",17,0.85
"21","A2G6ISFMGZWCQN",12,0.6
"22","A1V6AMPFOEYWLV",19,0.95
"23","A18SXC3JEN1O0U",9,0.45
"29","A2IGPW784OFV3D",19,0.95
"31","A2P4UAMRGH6INU",14,0.7
"32","A2HFS26K7QBICF",14,0.7
"39","A1MS98IHMLG24F",15,0.75
"43","A3FY6THWKRYN9M",17,0.85
"44","A2OVX9UW5WANQE",21,1.05
"45","A3QNCW3LR2AVOV",10,0.5
"48","A34Q0M3EWZBXMV",12,0.6
"53","A2C84POENS2UNY",22,1.1
"54","A2KGNHK94TTUHG ",10,0.5
"60","AEJI1P3PMRNXA",14,0.7
"61","AZNIEFUIVB2H0",12,0.6
"62","A6EJ7EU0KMGPL",28,1.4
"70","A33Y5ZIG2AEBUC",14,0.7
"71","A1F46RJTOXQM4J",15,0.75
"75","A3U8PLWZQUK09D",15,0.75
"76","jquinones77@icloud.com",9,0.45
"80","A3REK98S3MBVHW",19,0.95
"84","A1VY5NNP7PAYWT",16,0.8
"85","AEKRJ1G33N0V5",22,1.1
"90","A1QUOTZEN3BNVF",15,0.75
"91","A3HVFSD8K94SOR",14,0.7
"95","A1N8WKXWLOLBRR",14,0.7
"98","A14VY6QXKBLC0D",18,0.9
"101","A1GOT0DXTYCM4E",9,0.45
"105","APGX2WZ59OWDN",29,1.45
"106","A2F632QLHB23ZK",13,0.65
"109","A1PTH9KTRO06EG",27,1.35
"112","AJW3PL5UDH4BP",15,0.75
"117","A2LL81ERU0Y7E6",13,0.65
"118","A2A9FMATFZABXC",7,0.35
"122","A2DDOEOO1D99X4",6,0.3
"124","A1ZWJF3V4NXN6H",8,0.4
"129","A1RGKDDAQN68NO",8,0.4
"132","A10UJ9PWA17J5O",15,0.75
"133","A38DHLB88V8DL8",15,0.75
"136","A3LX4S6ODU2LA5",2,0.1
"140","A3N3GGRTTDFKLF",9,0.45
"142","A309R9QWP9X54E",18,0.9
"146","A1BLKLKIO27E3V",9,0.45
"150","ACSS93E03ZUGX",11,0.55
"152","AK3H5QRAROFGP",24,1.2
"156","A3A8P4UR9A0DWQ",4,0.2
"157","A1VIEFZYI54JHP",6,0.3
"160","AMDPJ713Z3IJL",12,0.6
"165","a16zlwv0qujp65",15,0.75
"166","A1D4XJWJS07DEJ",14,0.7
"172","ARYHFQRAS0L7X",21,1.05
"173","A20MI91ZJRX18N",21,1.05
"176","A2871R3LEPWMMK",16,0.8
"179","A3GCYGO7UPKXO9",17,0.85
"184","A1SIUJEL2LS8UO",15,0.75
"185","AELOYBHVZFDW9",9,0.45
"187","A248TO3PTV0K5P",15,0.75
"190","A1W8FA5GSFY60C",23,1.15
"194","A18KNIT4S4SOLL",15,0.75
"196","A98QFUWNFJUS3",9,0.45
"199","A2P6PE20O0WRL4",10,0.5
"203","A3201SGKC2IXYI",25,1.25
"205","A1GRN111GB7MPR",14,0.7
"209","A1NRIT5DE3TBID",10,0.5
"212","A2WLGVXAVT2XTR",11,0.55
"216","A2WPHVMLLEV5ZB",12,0.6
"217","A1ZZ7YO3YASNIP",29,1.45
"222","A1S1K7134S2VUC",12,0.6
"223","A3P1TIG6OWXN7V",8,0.4
"227","A3INEKAD86IRQC",18,0.9
"230","A1XJ2LTD9PJ8PV",14,0.7
"236","A1G6GP4GWHO7FU",16,0.8
"238","AH4S22PWE826G",14,0.7
"239","A2E3TO92MCQ9XU",30,1.5
"243","AHHWHXTDSLNRF",12,0.6
"247","A3AFC26CB0AXMI",11,0.55
"248","A27ARZT8R4B7IE",8,0.4
"251","AX9F74K2MF07B",9,0.45
"254","A1LIMVH3P4KMJC",9,0.45
"258","A3SGR153YCJ1XN",21,1.05
"259","A1JOQR4XCUH044",13,0.65
"260","A49WTQG4MBT9Z",24,1.2
"266","A1I7URHRM80OJ9",10,0.5
"269","AYK9MT0SA22CS",19,0.95
"273","A17R1625AP9AV7",14,0.7
"276","AHXO376ALG8WN",13,0.65
"279","A1F2VHKMDWEA2X",6,0.3
"282","AQ2U4H38MELRY",17,0.85
"283","A15C02GO8F3DOH",12,0.6
"288","A1NGXQMOBCXDC3",25,1.25
"290","A22KRF782ELLB0",26,1.3
"294","A3FWYOGYM4ESVH",13,0.65
"297","A1P6LFEAY9MWAY",17,0.85
"298","A14WLAP6TCEKO0",8,0.4
"303","A20VGO2ZQZA7QH",33,1.65
"306","AURYD2FH3FUOQ",25,1.25
"309","A2RVEG53L48BAE",10,0.5
"312","AEX9MA72M10DC",11,0.55
"315","A11BACV6DY5S8M",7,0.35
"316","AH00EJ6PK1H3A",19,0.95
