"","MTurkID","round2_pay"
"137","A2XFO0X6RCS98M",2.5
"82","A2QUH7ZN2VHOZX",1.4
"33","AZ79FR04OLJX8",1
"198","ACECR4NPW3MH3",1.8
"267","A3HOBJ4PJUOCUN",1.1
"218","A20SXG1DHDIDI7",2.8
"191","A1H2DOSN5SFN7A",2.4
"14","A3K2DJJV5DWBFD",2.4
"143","A1V5VJE32G7HDE",2
"233","A38ICX1LQIPIMN",1.7
"281","A1QLESV0SGHG8U",1.8
"3","A6ZAKE3FP8YKY",2
"232","A2HIPDBIQTFGAX",2
"200","AZVB3QN92V791",2.4
"89","AGDKM3CF6Q74J",1.5
"55","APF1EAZT104LQ",2.5
"81","A2V3ECGQQYNO85",2
"119","A2FYQIZWV2UJHS",2.8
"69","AFRBRB9J2ZX1D",1.3
"159","A35D31QHYQUF9V",2.4
"287","A2X9VV3B0FZKHY",1
"7","A2QMHQXR8K4VJ2",2.1
"164","AUSRHMZM3R6CW",1.1
"167","A1A7KL0CEERE60",1.7
"68","A1DJOV9B25U4JC",1.4
"96","A2NGMLBFZ3YQP5",1.6
"263","A35RSQO7AHWVQY",1.1
"37","A26EJVWSTGWYO0",1.8
"213","A26Z5PHC885L9A",2.3
"253","A2EIQC6N8R60Q3",2.3
"178","A1GZAHNN3T1AOJ",1.4
"28","A2MI6AUNBXGL47",2.2
"319","A2O68J7PBH42MA",1.4
"208","A23WEAVGAOC5XZ",1.4
"256","A2MYLV7DGUL42B",1.4
"193","A2WA6IUUGWL76Z",2
"182","A3FMSV2KW0YQZB",2.2
"66","A3AXBG909KATN2",2.8
"153","A3FJSCZLT0F0WY",3.3
"111","A1Y508FNU04ZLH",1.1
"27","A3FJ79JZ9MO6GB",2.2
"148","AA9V4NE8SOA4I",1.4
"16","A6ULXWG14D1SR",0.9
"245","A3QSJY1FFN0N6V",2.4
"228","A3CKR60DBKQ7ZH",3.6
"103","A2PNV9E9RIFE6M",1.5
"135","A17V85U8PXS4LJ",2.3
"246","AXARCRGIEJEKA",2.4
"219","A10V73ANM5HV2A",1.4
