"","MTurkID","round3score","round3_pay"
"1","53",3,0.15
"10","A389GJDJ0ARZTO",11,0.55
"11","A19YI8PZGYKN6X",18,0.9
"15","A293Y9SY2ETQN5",11,0.55
"20","A3A6A30JN4KOTG",20,1
"24","AJQGWGESKQT4Y",20,1
"26","A3PEDSLDKU79RH",17,0.85
"30","A15CL9A9FVSJDW",22,1.1
"34","A1FUR4UJ0S46W6",33,1.65
"51","A258MR1IS96JEP",17,0.85
"72","A38R2PAEO1BDW8",21,1.05
"73","A17HLZG0LK6S6M",22,1.1
"77","A1SHLWKA0UH1IS",20,1
"78","A16S3YVUDVJ0ZA",20,1
"88","AMK9LJTZOOWC5",18,0.9
"94","A1V2H0UF94ATWY",14,0.7
"99","AAIRYP2HKB7IK",25,1.25
"102","A8289AEOKHKV4",26,1.3
"104","AIZ4C8S4DW2WG",22,1.1
"114","A3PV3QBXXQ7ASS",22,1.1
"120","A32U64W0S9PUA3",14,0.7
"121","A3V3AE3QJOCNRT",23,1.15
"125","A2BGRGVU9HG0C6",10,0.5
"126","A171S8E9IFSHH2",24,1.2
"134","A1BSL1VC7PQR04",20,1
"138","A38CZV5XGLEZ5Y",24,1.2
"149","A2RSG8IMB0ZOB5",8,0.4
"151","A3UC8KZ5O8FVX9",25,1.25
"161","A24WQ0ZEGXHX6J",25,1.25
"168","A26LOVXF4QZZCO",21,1.05
"169","A25OK203N0QYH2",18,0.9
"183","A2TDK0LD62WZ8Y",27,1.35
"186","A3UCAJPHZLEO30",13,0.65
"192","A1XZCIRBUG58Y4",25,1.25
"195","A20HL4RSJ88TD8",18,0.9
"197","A3CF8ULBSE8MTL",29,1.45
"202","A1PT8E2MD4B6BA",25,1.25
"204","A1A4FV99I596WA",22,1.1
"206","AA1IT08ON1YXS",23,1.15
"210","A25WOGYFDFEMQN",19,0.95
"211","A2EW08X2I87RXL",13,0.65
"214","A8KX1HFH8NE2Q",17,0.85
"220","A3FXVNZ5VG98IP",24,1.2
"221","A1OQIXAU1SEJ4P",31,1.55
"224","A2223XYV804AY7",23,1.15
"226","AYUBSG6FZ9DVU",12,0.6
"229","A3V8C77FN4FLUA",17,0.85
"235","A3N05E8AJRRBRG",17,0.85
"240","A1AZTE5W2MF1TU",10,0.5
"244","A34CBV74LOV6E3",20,1
"249","A168QBUOKNFWWK",26,1.3
"252","A2RRHPSJWH5GD1",27,1.35
"255","A17OSPGV41FZ7P",23,1.15
"257","A1C9FN8HGIWWWG",21,1.05
"262","A2PJ1XAIGPIGJU",22,1.1
"270","A17AF42SNQNH9C",23,1.15
"280","A1EWWETFXX1U51",18,0.9
"284","A34TMWLXTWLMUL",19,0.95
"292","A6TSV1WPP3GG3",11,0.55
"295","A1N4TYRLJ26DB9",15,0.75
"300","A2HOGLSSO2A5N7",9,0.45
"301","AR0VLNKHV2HF3",20,1
"305","A2C0QNEIOSKAV5",15,0.75
"308","AQOXSP4W3ITSW",13,0.65
"310","A1TGV7LT6LTIQU",21,1.05
"313","A2B2HQHFBYLTXU",19,0.95
