"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Phone/tablet","MTurkID","Age","Gender","Gender_3_TEXT","Residence","Nationality","Nationality_2_TEXT","race","race_6_TEXT","ethnicity","tab key","Example","comprehension1","comprehension2","comprehension3","timing1_First Click","timing1_Last Click","timing1_Page Submit","timing1_Click Count","R1-1","R1-2","R1-3","R1-4","R1-5","Q86","Q87","Q88","Q89","Q90","Q91","Q92","Q93","Q94","Q95","Q96","Q97","Q98","Q99","Q100","Q101","Q102","Q103","Q104","Q105","Q106","Q107","Q108","Q109","Q110","Q111","Q112","Q113","Q114","Q115","Q116","timing_First Click","timing_Last Click","timing_Page Submit","timing_Click Count","Q303","Q304","Q305","Q306","Q307","Q308","Q309","Q310","Q311","Q312","Q313","Q314","Q315","Q316","Q317","Q318","Q319","Q320","Q321","Q322","Q323","Q324","Q325","Q326","Q327","Q328","Q329","Q330","Q331","Q332","Q333","Q334","Q335","Q336","Q337","Q338","timing_choice_First Click","timing_choice_Last Click","timing_choice_Page Submit","timing_choice_Click Count","choice","Q339_First Click","Q339_Last Click","Q339_Page Submit","Q339_Click Count","Q341","Q342","Q343","Q344","Q345","Q346","Q347","Q348","Q349","Q350","Q351","Q352","Q353","Q354","Q355","Q356","Q357","Q358","Q359","Q360","Q361","Q362","Q363","Q364","Q365","Q366","Q367","Q368","Q369","Q370","Q371","Q372","Q373","Q374","Q375","Q376","conf_partner","confidence2_men","confidence3_women","gender_guess","risk","improvement","optiontopract","numberpractrounds","ownincome","education","unclear","SC0","round1score","round2score","round3score","bonus_pay_round1and2","bonus_payPRround3","bonus_paycomp_round3","round1_paid","round2_paid","round3_paid","conf1_paid","conf2_paid","conf3_paid","conf4_paid","FL_54_DO","FL_61_DO"
"2018-11-16 07:38:54","2018-11-16 07:40:37","IP Address","67.253.21.12","7","102","False","2018-11-17 07:40:38","R_27dRi7dTjZrDcM4",NA,NA,NA,NA,NA,NA,"anonymous","EN","No","A1YH2I4Y2SYAXJ","56","Female",NA,"United States","American",NA,"White",NA,"None of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-16 07:39:33","2018-11-16 07:41:33","IP Address","76.101.148.141","7","120","False","2018-11-17 07:41:38","R_qQt010z4Jp7joRP",NA,NA,NA,NA,NA,NA,"anonymous","EN","No","AKVDK30EEV08C","61","Female",NA,"United States","American",NA,"White",NA,"None of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-16 07:40:11","2018-11-16 07:41:10","IP Address","76.181.217.158","8","58","False","2018-11-17 07:41:33","R_87fpwTNcJZu0jLP",NA,NA,NA,NA,NA,NA,"anonymous","EN","No","AVNXCGTZQ1CFK","33","Female",NA,"United States","American",NA,"White",NA,"None of these","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-16 07:41:37","2018-11-16 07:42:25","IP Address","140.251.15.41","7","47","False","2018-11-17 07:42:40","R_2WUoH1g7I6Ymfg9",NA,NA,NA,NA,NA,NA,"anonymous","EN","No","A1S34EEDHD8T1K","41","Female",NA,"United States","American",NA,"Asian",NA,"None of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-16 07:42:59","2018-11-16 07:45:22","IP Address","71.163.66.4","13","142","False","2018-11-17 07:45:44","R_ANFkuUQki7javTj",NA,NA,NA,NA,NA,NA,"anonymous","EN","No","A12O9P1OTMJOPW","59","Female",NA,"United States","American",NA,"White",NA,"None of these","Yes","cr","qc","rr","QU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-16 07:44:29","2018-11-16 08:55:02","IP Address","173.175.170.107","10","4232","False","2018-11-17 08:55:10","R_1kHpnOedMXP65PR",NA,NA,NA,NA,NA,NA,"anonymous","EN","No","A2JGWDPGYD5X0N","67","Female",NA,"United States","American",NA,"White",NA,"None of these","No","cr","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-16 07:44:41","2018-11-16 07:47:35","IP Address","68.207.246.47","65","173","False","2018-11-17 07:47:36","R_3R8eK42QoY4nBTf",NA,NA,NA,NA,NA,NA,"anonymous","EN","No","ACVJ6IUO9QM4R","36","Female",NA,"United States","American",NA,"White",NA,"None of these","Yes","CR","QC",NA,NA,"16.143","55.421","60.01","14","ZM","AM","FJ","JZ","MJ","FJ","AJ","ZF","ZA","FA","FM","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.602","58.107","60.111","22","JZ","JZ","AA","FJ","ZJ","JJ","JJ","JM","JZ","JZ","AA","FZ","MM","AM","ZF","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","12","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-16 07:45:42","2018-11-16 07:46:26","IP Address","98.255.239.86","11","43","False","2018-11-17 07:46:51","R_1QipvYilAkHqZYB",NA,NA,NA,NA,NA,NA,"anonymous","EN","No","abc","25","Female",NA,"United States","American",NA,"White",NA,"None of these","Yes","CR","QC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-16 07:47:31","2018-11-16 07:49:06","IP Address","97.81.164.197","8","95","False","2018-11-17 07:49:06","R_24GZ5ILQqKrHDYZ",NA,NA,NA,NA,NA,NA,"anonymous","EN","No","A38OPVI04AH4JG","51","Male",NA,"United States","American",NA,"White",NA,"None of these","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-16 07:51:12","2018-11-16 07:53:31","IP Address","71.237.59.12","11","138","False","2018-11-17 07:54:04","R_xu2tzxqoRIkDHkl",NA,NA,NA,NA,NA,NA,"anonymous","EN","No","ASD","44","Male",NA,"United States","American",NA,"White",NA,"None of these","Yes",NA,"cr","rr","QU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
