StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Phone/tablet,MTurkID,Age,Gender,Gender_3_TEXT,Residence,Nationality,Nationality_2_TEXT,race,race_6_TEXT,ethnicity,tab key,Example,comprehension1,comprehension2,comprehension3,timing1_First Click,timing1_Last Click,timing1_Page Submit,timing1_Click Count,R1-1,R1-2,R1-3,R1-4,R1-5,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q114,Q115,Q116,timing_First Click,timing_Last Click,timing_Page Submit,timing_Click Count,Q303,Q304,Q305,Q306,Q307,Q308,Q309,Q310,Q311,Q312,Q313,Q314,Q315,Q316,Q317,Q318,Q319,Q320,Q321,Q322,Q323,Q324,Q325,Q326,Q327,Q328,Q329,Q330,Q331,Q332,Q333,Q334,Q335,Q336,Q337,Q338,timing_choice_First Click,timing_choice_Last Click,timing_choice_Page Submit,timing_choice_Click Count,choice,Q339_First Click,Q339_Last Click,Q339_Page Submit,Q339_Click Count,Q341,Q342,Q343,Q344,Q345,Q346,Q347,Q348,Q349,Q350,Q351,Q352,Q353,Q354,Q355,Q356,Q357,Q358,Q359,Q360,Q361,Q362,Q363,Q364,Q365,Q366,Q367,Q368,Q369,Q370,Q371,Q372,Q373,Q374,Q375,Q376,conf_partner,confidence2_men,confidence3_women,gender_guess,risk,improvement,optiontopract,numberpractrounds,ownincome,education,unclear,SC0,round1score,round2score,round3score,bonus_pay_round1and2,bonus_payPRround3,bonus_paycomp_round3,round1_paid,round2_paid,round3_paid,conf1_paid,conf2_paid,conf3_paid,conf4_paid,FL_54_DO,FL_61_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you completing this survey on a mobile device or tablet?,"To receive your bonus payment, you must enter your Mechanical Turk ID into the box below and then click to continue.



Your WorkerID starts with the letter A and has 12-14 letters or numbers. It is not your email address.

 

To ensure accuracy, please copy and paste your WorkerID from Mturk. This makes sure that there are no mistakes. An example of a common mistake is that ""0"" (the number) is written instead of an ""O"" (the letter). Mistakes like that may significantly delay your bonus payment.  



Enter your WorkerID here:",What is your age (in years)?,What is your gender? - Selected Choice,What is your gender? - Other: - Text,What is your country of residence?,What is your nationality? - Selected Choice,What is your nationality? - Other - Text,Choose one or more races that you consider yourself to be: - Selected Choice,Choose one or more races that you consider yourself to be: - Other - Text,"Are you Spanish, Hispanic, or Latino or none of these?",Do you have a tab key on your computer?,"As an example, if the following ​sequence appears on your screen:


12 ​


​

 



You would enter ""CR"" in the text box, which will be located below the legend, as shown below. Please press next to continue.","What would you enter if the sequence ""41"" appeared on the screen, as shown below? 

 
41","The correct answer to the previous question was ""QC."" To proceed you must answer a comprehension question correctly. What would you enter if the sequence ""22"" appeared on the screen, as shown below? 
22","The correct answer to the previous question was ""RR."" To proceed you must answer a comprehension question correctly. What would you enter if the sequence ""43"" appeared on the screen, as shown below? 
 
43",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



13","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


23","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


45","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



51","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



35","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


45","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



25","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



14","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



12","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



42","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



43","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



32","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



44","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



23","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



32","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



44","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


23","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



32","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



21","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



44","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


41","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



22","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



22","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



11","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



51","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



24","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



53","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



12","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



12","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



33","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


53","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



52","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


23","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



24","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



32","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



54",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



54","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


55","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


22","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



45","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


15","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


55","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



55","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



53","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



25","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



35","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



22","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



41","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



33","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



23","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



14","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


35","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


22","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



35","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


55","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


24","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


14","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



24","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



13","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



34","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



24","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



55","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



31","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


41","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



51","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



32","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


24","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



43","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


22","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



45","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



11","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



23",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which compensation scheme do you prefer for Round 3?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



13","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


21","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


21","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



22","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


13","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


33","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



22","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



55","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



51","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



25","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


32","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



25","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



25","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


11","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


34","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


53","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


23","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



41","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


25","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


35","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


52","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



41","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



31","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



14","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


32","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



14","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



11","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


34","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



14","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



52","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


31","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


31","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 


44","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



54","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



31","Please enter the keys in the box below that correspond to the sequence of numbers below. Use the legend below the image for reference. 



53","As a reminder, your Round 2 score was: [Field-round2score]. If my performance is compared to that of the person I was matched to, I think my score was...","As a reminder, your Round 2 score was: [Field-round2score]. In what percentile range do you think your score falls compared to all men in Round 2?  

The percentile is based on the number of scores that fall below your score. For instance, a percentile of 0 means 0% of other participants had lower scores than yours, while a percentile of 100 means 100% of participants had lower scores than yours.","As a reminder, your Round 2 score was: [Field-round2score]. In what percentile range do you think your score falls compared to all women in Round 2?  

The percentile is based on the number of scores that fall below your score. For instance, a percentile of 0 means 0% of other participants had lower scores than yours, while a percentile of 100 means 100% of participants had lower scores than yours.","Do you think men or women generally do better in the ""key-entry""-task that you just completed?",How do you see yourself: Are you generally a person who is fully prepared to take risks or do you try to avoid taking risks?,Do you think your score would have improved if you practiced the task beforehand?,"If you had the chance to practice the task, would you have taken that opportunity?","How long would you have practiced (in minutes), if you were given unlimited time to practice?","What was your total income last year? Take into account all your sources of income, including scholarships, health benefits, fringe benefits, and others. Please note that this is your personal income, not the income of your household.",What is your highest level of education completed?,Was anything unclear in the instructions or survey questions? (Optional),Score,round1score,round2score,round3score,bonus_pay_round1and2,bonus_payPRround3,bonus_paycomp_round3,round1_paid,round2_paid,round3_paid,conf1_paid,conf2_paid,conf3_paid,conf4_paid,FL_54 - Block Randomizer - Display Order,FL_61 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID173""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_3_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID381""}","{""ImportId"":""QID381_2_TEXT""}","{""ImportId"":""QID390""}","{""ImportId"":""QID390_6_TEXT""}","{""ImportId"":""QID389""}","{""ImportId"":""QID382""}","{""ImportId"":""QID264_TEXT""}","{""ImportId"":""QID174_TEXT""}","{""ImportId"":""QID189_TEXT""}","{""ImportId"":""QID190_TEXT""}","{""ImportId"":""QID186_FIRST_CLICK""}","{""ImportId"":""QID186_LAST_CLICK""}","{""ImportId"":""QID186_PAGE_SUBMIT""}","{""ImportId"":""QID186_CLICK_COUNT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID266_TEXT""}","{""ImportId"":""QID267_TEXT""}","{""ImportId"":""QID268_TEXT""}","{""ImportId"":""QID269_TEXT""}","{""ImportId"":""QID270_TEXT""}","{""ImportId"":""QID271_TEXT""}","{""ImportId"":""QID272_TEXT""}","{""ImportId"":""QID273_TEXT""}","{""ImportId"":""QID274_TEXT""}","{""ImportId"":""QID275_TEXT""}","{""ImportId"":""QID276_TEXT""}","{""ImportId"":""QID277_TEXT""}","{""ImportId"":""QID278_TEXT""}","{""ImportId"":""QID279_TEXT""}","{""ImportId"":""QID280_TEXT""}","{""ImportId"":""QID281_TEXT""}","{""ImportId"":""QID282_TEXT""}","{""ImportId"":""QID283_TEXT""}","{""ImportId"":""QID284_TEXT""}","{""ImportId"":""QID285_TEXT""}","{""ImportId"":""QID286_TEXT""}","{""ImportId"":""QID287_TEXT""}","{""ImportId"":""QID288_TEXT""}","{""ImportId"":""QID289_TEXT""}","{""ImportId"":""QID290_TEXT""}","{""ImportId"":""QID291_TEXT""}","{""ImportId"":""QID292_TEXT""}","{""ImportId"":""QID293_TEXT""}","{""ImportId"":""QID294_TEXT""}","{""ImportId"":""QID295_TEXT""}","{""ImportId"":""QID296_TEXT""}","{""ImportId"":""QID297_TEXT""}","{""ImportId"":""QID298_TEXT""}","{""ImportId"":""QID299_TEXT""}","{""ImportId"":""QID300_TEXT""}","{""ImportId"":""QID301_FIRST_CLICK""}","{""ImportId"":""QID301_LAST_CLICK""}","{""ImportId"":""QID301_PAGE_SUBMIT""}","{""ImportId"":""QID301_CLICK_COUNT""}","{""ImportId"":""QID303_TEXT""}","{""ImportId"":""QID304_TEXT""}","{""ImportId"":""QID305_TEXT""}","{""ImportId"":""QID306_TEXT""}","{""ImportId"":""QID307_TEXT""}","{""ImportId"":""QID308_TEXT""}","{""ImportId"":""QID309_TEXT""}","{""ImportId"":""QID310_TEXT""}","{""ImportId"":""QID311_TEXT""}","{""ImportId"":""QID312_TEXT""}","{""ImportId"":""QID313_TEXT""}","{""ImportId"":""QID314_TEXT""}","{""ImportId"":""QID315_TEXT""}","{""ImportId"":""QID316_TEXT""}","{""ImportId"":""QID317_TEXT""}","{""ImportId"":""QID318_TEXT""}","{""ImportId"":""QID319_TEXT""}","{""ImportId"":""QID320_TEXT""}","{""ImportId"":""QID321_TEXT""}","{""ImportId"":""QID322_TEXT""}","{""ImportId"":""QID323_TEXT""}","{""ImportId"":""QID324_TEXT""}","{""ImportId"":""QID325_TEXT""}","{""ImportId"":""QID326_TEXT""}","{""ImportId"":""QID327_TEXT""}","{""ImportId"":""QID328_TEXT""}","{""ImportId"":""QID329_TEXT""}","{""ImportId"":""QID330_TEXT""}","{""ImportId"":""QID331_TEXT""}","{""ImportId"":""QID332_TEXT""}","{""ImportId"":""QID333_TEXT""}","{""ImportId"":""QID334_TEXT""}","{""ImportId"":""QID335_TEXT""}","{""ImportId"":""QID336_TEXT""}","{""ImportId"":""QID337_TEXT""}","{""ImportId"":""QID338_TEXT""}","{""ImportId"":""QID170_FIRST_CLICK""}","{""ImportId"":""QID170_LAST_CLICK""}","{""ImportId"":""QID170_PAGE_SUBMIT""}","{""ImportId"":""QID170_CLICK_COUNT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID339_FIRST_CLICK""}","{""ImportId"":""QID339_LAST_CLICK""}","{""ImportId"":""QID339_PAGE_SUBMIT""}","{""ImportId"":""QID339_CLICK_COUNT""}","{""ImportId"":""QID341_TEXT""}","{""ImportId"":""QID342_TEXT""}","{""ImportId"":""QID343_TEXT""}","{""ImportId"":""QID344_TEXT""}","{""ImportId"":""QID345_TEXT""}","{""ImportId"":""QID346_TEXT""}","{""ImportId"":""QID347_TEXT""}","{""ImportId"":""QID348_TEXT""}","{""ImportId"":""QID349_TEXT""}","{""ImportId"":""QID350_TEXT""}","{""ImportId"":""QID351_TEXT""}","{""ImportId"":""QID352_TEXT""}","{""ImportId"":""QID353_TEXT""}","{""ImportId"":""QID354_TEXT""}","{""ImportId"":""QID355_TEXT""}","{""ImportId"":""QID356_TEXT""}","{""ImportId"":""QID357_TEXT""}","{""ImportId"":""QID358_TEXT""}","{""ImportId"":""QID359_TEXT""}","{""ImportId"":""QID360_TEXT""}","{""ImportId"":""QID361_TEXT""}","{""ImportId"":""QID362_TEXT""}","{""ImportId"":""QID363_TEXT""}","{""ImportId"":""QID364_TEXT""}","{""ImportId"":""QID365_TEXT""}","{""ImportId"":""QID366_TEXT""}","{""ImportId"":""QID367_TEXT""}","{""ImportId"":""QID368_TEXT""}","{""ImportId"":""QID369_TEXT""}","{""ImportId"":""QID370_TEXT""}","{""ImportId"":""QID371_TEXT""}","{""ImportId"":""QID372_TEXT""}","{""ImportId"":""QID373_TEXT""}","{""ImportId"":""QID374_TEXT""}","{""ImportId"":""QID375_TEXT""}","{""ImportId"":""QID376_TEXT""}","{""ImportId"":""QID396""}","{""ImportId"":""QID379""}","{""ImportId"":""QID380""}","{""ImportId"":""QID377""}","{""ImportId"":""QID115""}","{""ImportId"":""QID393""}","{""ImportId"":""QID392""}","{""ImportId"":""QID394_TEXT""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID135_TEXT""}","{""ImportId"":""SC_0OPSJ5lc2RsyFuZ""}","{""ImportId"":""round1score""}","{""ImportId"":""round2score""}","{""ImportId"":""round3score""}","{""ImportId"":""bonus_pay_round1and2""}","{""ImportId"":""bonus_payPRround3""}","{""ImportId"":""bonus_paycomp_round3""}","{""ImportId"":""round1_paid""}","{""ImportId"":""round2_paid""}","{""ImportId"":""round3_paid""}","{""ImportId"":""conf1_paid""}","{""ImportId"":""conf2_paid""}","{""ImportId"":""conf3_paid""}","{""ImportId"":""conf4_paid""}","{""ImportId"":""FL_54_DO""}","{""ImportId"":""FL_61_DO""}"
2018-11-16 07:18:13,2018-11-16 07:29:14,Survey Preview,,100,661,True,2018-11-16 07:29:15,R_3CPZZdAJTivpBSc,,,,,39.9597015380859375,-75.20240020751953125,preview,EN,No,53,34,Male,,United States,American,,White,,Yes,Yes,,QC,,,1.804,2.138,61.293,2,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.635,12.444,61.329,4,jF,,,,ZJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1.35,3.49,1,Piece-rate (as in Round 1),2.551,12.167,61.824,4,ZM,,,AA,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highers than theirs,11-20,51-60,Men,,Yes,Yes,20,"$20,000 to $30,000",Vocational Training,,6,1,2,3,0,0,,,,3,,,3,,FL_57,FL_64
2018-11-16 07:38:14,2018-11-16 07:38:17,IP Address,99.26.215.253,100,3,True,2018-11-16 07:38:18,R_3KuYvmBMwtJSW54,,,,,38.683502197265625,-89.98529815673828125,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2018-11-16 07:38:14,2018-11-16 07:38:19,IP Address,209.135.132.136,100,5,True,2018-11-16 07:38:19,R_1Kxo22YFrBaU5gC,,,,,38.6273040771484375,-90.19789886474609375,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2018-11-16 07:38:01,2018-11-16 07:38:26,IP Address,73.199.117.11,100,24,True,2018-11-16 07:38:26,R_2DOnYlOPTLSxm91,,,,,39.3740997314453125,-74.6118011474609375,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2018-11-16 07:38:01,2018-11-16 07:38:32,IP Address,66.91.245.82,100,31,True,2018-11-16 07:38:32,R_3R2Sp03XXzXDh32,,,,,21.3531951904296875,-157.9268951416015625,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2018-11-16 07:39:15,2018-11-16 07:39:21,IP Address,75.20.133.139,100,5,True,2018-11-16 07:39:21,R_3soJd0A2epDQTa9,,,,,39.0731048583984375,-94.353302001953125,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2018-11-16 07:38:24,2018-11-16 07:39:30,IP Address,99.26.215.253,100,65,True,2018-11-16 07:39:30,R_2woDu2UAWpdBaH8,,,,,38.683502197265625,-89.98529815673828125,anonymous,EN,No,A34LAJH3Q4GEPC,45,Female,,United States,American,,White,,None of these,Yes,cr,qc,rr,qu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2018-11-16 07:38:35,2018-11-16 07:39:35,IP Address,66.91.245.82,100,60,True,2018-11-16 07:39:35,R_2dm2MUwC1dywLrw,,,,,21.3531951904296875,-157.9268951416015625,anonymous,EN,No,A2QMHQXR8K4VJ2,23,Female,,United States,American,,"White,Asian",,None of these,Yes,12,qc,rr,qu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
