"gender","gender_other","residence","residence_other","nationality","nationality_other","task_comp_check1","task_comp_check2","task_comp_check3","comp_check_pr1","comp_check_pr1_do","comp_check_pr2","comp_check_pr2_do","comp_check_comp1","comp_check_comp1_do","comp_check_comp2","comp_check_comp2_do","comp_check_comp3","comp_check_comp3_do","comp_check_comp4","comp_check_comp4_do","comp_choice","pract_choice","conf_rank","better_gender_guess","perc_task_gender_pract","perc_gender_comp","risk","calc1","calc2","calc3","calc4","calc5","perc_gen_gender_pract","age","race_ethnicity","race_ethnicity_other","income","education","unclear","Gender...2646","condition","task_score","comp_choice_do","pract_count1","pract_count2","pract_count3","pract_count4","pract_count5","pract_count6","pract_count7","pract_count8","pract_count9","pract_count10","pract_count11","pract_count12","practice_nonempty","task_comp_check_acc","pay_comp_check_acc","n_comp_wrong","total_review_count","practice_choice_numeric","id"
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$12|$.25",NA,NA,"$24","$.25|$2|$24|$0",NA,NA,"$0","$.25|$2|$0|$24",NA,NA,"piecerate","No",80,"Women","Men","Men",3,"Slower","Yes","Yes","Slower","Men","Women",33,"White/Caucasian",NA,"$100,000 to $200,00","Some College",NA,0,"pract",65,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$0|$1.20",NA,NA,"$24","$2|$0|$.25|$24",NA,NA,"$0","$0|$24|$.25|$2",NA,NA,"piecerate","No",90,"Men","Women","Men",6,"Slower","No","Yes","Slower","Men","Women",30,"White/Caucasian",NA,"$70,000 to $80,000","Bachelor's Degree","No",0,"control",95,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$1.20|$0",NA,NA,"$24","$0|$24|$.25|$2",NA,NA,"$0","$24|$2|$0|$.25",NA,NA,"piecerate","Yes",90,"Men","Women","Men",1,"Slower","No","Yes","Slower","Men","Women",26,"White/Caucasian",NA,"$40,000 to $50,000","Bachelor's Degree",NA,0,"pract",131,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$0|$1.20|$.25",NA,NA,"$24","$0|$2|$.25|$24",NA,NA,"$0","$2|$0|$24|$.25",NA,NA,"piecerate","No",50,"Men","Women","Men",4,"Slower","No","No","Slower","Women","Women",26,"White/Caucasian",NA,"Less than $10,000","High School Diploma",NA,0,"control",62,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$1.20|$0|$.25",NA,NA,"$24","$2|$24|$.25|$0",NA,NA,"$0","$24|$2|$0|$.25",NA,NA,"piecerate","No",50,"Men","Women","Men",0,"Slower","No","No","Slower","Women","Women",56,"White/Caucasian",NA,"$60,000 to $70,000","Graduate Degree",NA,0,"pract",52,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$1.20|$12|$0",NA,NA,"$24","$.25|$0|$24|$2",NA,NA,"$0","$.25|$0|$24|$2",NA,NA,"piecerate","No",70,"Women","Women","Women",5,"Slower","No","No","Slower","Men","Women",23,"White/Caucasian",NA,"$60,000 to $70,000","Some College",NA,1,"control",53,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$12|$1.20|$0|$.25","$14","$.25|$14|$1.40|$0","$24","$2|$0|$.25|$24",NA,NA,"$0","$.25|$0|$24|$2",NA,NA,"piecerate","Yes",60,"Men","Women","Men",2,"Slower","No","No","Slower","Women","Women",27,"White/Caucasian",NA,"$30,000 to $40,000","Bachelor's Degree",NA,1,"pract",80,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$1.20|$12|$0",NA,NA,"$24","$0|$24|$2|$.25",NA,NA,"$0","$0|$2|$.25|$24",NA,NA,"piecerate","No",0,"Men","Women","Men",0,"Faster","No","No","Faster","Men","Women",33,"White/Caucasian,Hispanic/Latino",NA,"$60,000 to $70,000","High School Diploma",NA,1,"control",42,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$1.20|$0",NA,NA,"$24","$.25|$2|$0|$24",NA,NA,"$0","$.25|$2|$0|$24",NA,NA,"piecerate","No",30,"Men","Women","Men",4,"Faster","No","Yes","Faster","Men","Women",26,"Hispanic/Latino",NA,"$10,000 to $20,000","Some College",NA,0,"control",53,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$1.20|$12|$.25",NA,NA,"$24","$24|$0|$.25|$2",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"piecerate","No",90,"Women","Women","Men",4,"Slower","No","No","Slower","Men","Women",29,"White/Caucasian",NA,"$20,000 to $30,000","Graduate Degree",NA,0,"pract",75,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
