"age","gender","gender_other","subj_confidence","abs_confidence","control_prep_beliefs","better_gender_guess","math_gender_prep","gen_gender_prep","interest","rank_explanations_2","rank_explanations_4","rank_explanations_5","rank_explanations_6","rank_explanations_8","text_explanation","unclear","task_score","condition","total_time"
22,"Man",NA,61,20,6,"No difference","No difference","No difference",5,4,2,5,3,1,NA,NA,32,"control",188.14
20,"Man",NA,100,30,NA,"No difference","No difference","No difference",7,3,1,5,4,2,NA,NA,69,"pract",169.305
18,"Woman",NA,71,26,6,"No difference","No difference","No difference",5,3,4,2,5,1,NA,NA,54,"control",136.184
20,"Woman",NA,78,30,NA,"No difference","Women","Women",6,3,1,5,4,2,NA,NA,55,"pract",227.176
22,"Woman",NA,92,30,NA,"No difference","No difference","No difference",4,3,5,2,4,1,NA,NA,90,"pract",119.271
19,"Man",NA,75,30,NA,"No difference","Women","Women",5,5,3,4,2,1,NA,NA,57,"pract",162.34
19,"Woman",NA,80,30,7,"Women","Women","Women",6,5,2,4,3,1,NA,NA,54,"control",151.934
20,"Woman",NA,41,15,6,"Women","Women","Women",4,1,2,4,5,3,"no",NA,38,"control",168.716
21,"Man",NA,100,100,NA,"No difference","No difference","Women",5,5,2,4,3,1,NA,"No",59,"pract",174.935
20,"Woman",NA,44,30,5,"No difference","No difference","No difference",4,5,2,4,1,3,NA,NA,65,"control",143.177
21,"Man",NA,80,30,6,"No difference","Women","Women",6,5,4,2,3,1,NA,NA,51,"control",155.264
21,"Woman",NA,51,20,NA,"No difference","Women","Women",3,4,2,5,3,1,NA,NA,35,"pract",373.51
19,"Other","woman",92,30,5,"No difference","No difference","No difference",5,4,3,5,2,1,"I think there may be a gender difference (biased towards men) in the majors/career paths that require STEM knowledge and arithmetic mastery. Therefore, men's scores may slightly exceed women's, on average.","No, everything was clear!",56,"control",182.967
22,"Man",NA,100,40,5,"Men","No difference","No difference",7,4,2,5,3,1,NA,NA,81,"control",140.073
22,"Woman",NA,90,20,NA,"Men","Women","Women",6,3,2,5,4,1,NA,NA,61,"pract",171.838
21,"Woman",NA,60,30,6,"Men","Women","Women",5,5,3,2,4,1,NA,NA,54,"control",150.29
18,"Man",NA,90,100,NA,"Men","Women","Women",3,5,3,4,2,1,NA,NA,150,"pract",250.097
21,"Woman",NA,65,25,6,"No difference","Women","Women",6,5,2,4,3,1,NA,NA,56,"control",132.184
21,"Man",NA,80,40,NA,"No difference","No difference","Women",1,5,2,4,3,1,NA,NA,62,"pract",141.734
20,"Man",NA,92,40,2,"No difference","No difference","No difference",6,5,2,3,4,1,NA,NA,68,"control",148.514
21,"Woman",NA,100,20,NA,"Men","Women","Women",5,4,3,5,2,1,NA,NA,50,"pract",184.351
20,"Man",NA,80,50,4,"No difference","No difference","No difference",5,3,5,2,4,1,NA,NA,63,"control",188.873
22,"Woman",NA,68,20,NA,"Men","Women","Women",7,4,2,5,3,1,NA,"No",56,"pract",222.935
19,"Woman",NA,97,40,5,"No difference","Women","Women",5,5,3,4,2,1,"Men are more overly confident in their abilities for simple things such as multiplication (even if they do not have reason to be), whereas women acknowledge that they should not be cocky about their abilities as everyone makes mistakes, so they know practice always helps.",NA,60,"control",137.684
18,"Woman",NA,94,47,6,"No difference","Women","Women",6,5,2,4,3,1,"n/a","n/a",68,"control",129.144
20,"Man",NA,90,55,NA,"No difference","No difference","No difference",6,5,2,4,3,1,NA,NA,64,"pract",172.929
18,"Woman",NA,71,20,NA,"Women","Women","Women",2,5,4,2,3,1,NA,NA,37,"pract",219.59
18,"Man",NA,100,45,7,"No difference","Women","No difference",5,4,3,5,2,1,NA,NA,85,"control",112.318
21,"Man",NA,100,25,NA,"Men","Women","Women",7,4,3,5,2,1,"there is a societal perception that men are better than women at maths, therefore they might feel inferior to the mens' abilities at maths and so will study harder to do better","no",66,"pract",173.909
21,"Man",NA,100,30,NA,"No difference","No difference","No difference",5,4,2,1,5,3,NA,NA,74,"pract",131.316
21,"Man",NA,85,20,6,"No difference","No difference","No difference",5,4,2,5,3,1,NA,NA,47,"control",140.692
26,"Man",NA,71,20,6,"No difference","Women","No difference",4,4,2,5,3,1,"The societal expectation that women are worse then men at math makes them try harder.",NA,35,"control",227.038
19,"Woman",NA,92,30,2,"No difference","Women","Women",5,4,3,1,2,5,NA,NA,50,"control",145.262
21,"Woman",NA,52,20,NA,"Women","Women","Women",2,4,2,5,3,1,NA,NA,39,"pract",255.931
18,"Man",NA,95,30,NA,"Men","Men","No difference",7,5,3,2,4,1,NA,NA,61,"pract",123.827
19,"Man",NA,91,29,NA,"No difference","No difference","No difference",7,4,5,2,3,1,NA,NA,53,"pract",177.05
18,"Woman",NA,90,30,NA,"No difference","No difference","No difference",5,5,2,4,3,1,NA,"Perhaps I wasn't reading enough in depth, but I wasn't aware that I could skip the original preparatory phase.",67,"pract",140.25
21,"Woman",NA,98,30,3,"Women","Women","Women",3,4,2,5,3,1,"Women have the tendency to feel like they are doing worse at math than their peers when they are doing equal or better than their male peers.","No",65,"control",141.339
