"n1","n2","limited_practice_A","control_A","limited_practice_stim","control_stim"
2,5,10,7,"2 X 5","2 + 5"
11,11,121,22,"11 X 11","11 + 11"
9,3,27,12,"9 X 3","9 + 3"
11,8,88,19,"11 X 8","11 + 8"
9,3,27,12,"9 X 3","9 + 3"
9,2,18,11,"9 X 2","9 + 2"
5,4,20,9,"5 X 4","5 + 4"
7,8,56,15,"7 X 8","7 + 8"
7,1,7,8,"7 X 1","7 + 1"
3,2,6,5,"3 X 2","3 + 2"
3,12,36,15,"3 X 12","3 + 12"
6,12,72,18,"6 X 12","6 + 12"
10,10,100,20,"10 X 10","10 + 10"
5,1,5,6,"5 X 1","5 + 1"
12,6,72,18,"12 X 6","12 + 6"
10,4,40,14,"10 X 4","10 + 4"
5,1,5,6,"5 X 1","5 + 1"
11,4,44,15,"11 X 4","11 + 4"
9,2,18,11,"9 X 2","9 + 2"
6,11,66,17,"6 X 11","6 + 11"
12,9,108,21,"12 X 9","12 + 9"
11,4,44,15,"11 X 4","11 + 4"
10,3,30,13,"10 X 3","10 + 3"
5,12,60,17,"5 X 12","5 + 12"
10,11,110,21,"10 X 11","10 + 11"
10,3,30,13,"10 X 3","10 + 3"
3,4,12,7,"3 X 4","3 + 4"
1,11,11,12,"1 X 11","1 + 11"
10,9,90,19,"10 X 9","10 + 9"
6,6,36,12,"6 X 6","6 + 6"
8,2,16,10,"8 X 2","8 + 2"
12,5,60,17,"12 X 5","12 + 5"
7,12,84,19,"7 X 12","7 + 12"
11,9,99,20,"11 X 9","11 + 9"
6,9,54,15,"6 X 9","6 + 9"
2,1,2,3,"2 X 1","2 + 1"
9,6,54,15,"9 X 6","9 + 6"
10,1,10,11,"10 X 1","10 + 1"
10,6,60,16,"10 X 6","10 + 6"
4,2,8,6,"4 X 2","4 + 2"
8,7,56,15,"8 X 7","8 + 7"
8,8,64,16,"8 X 8","8 + 8"
4,6,24,10,"4 X 6","4 + 6"
12,8,96,20,"12 X 8","12 + 8"
4,8,32,12,"4 X 8","4 + 8"
11,12,132,23,"11 X 12","11 + 12"
8,11,88,19,"8 X 11","8 + 11"
12,1,12,13,"12 X 1","12 + 1"
11,1,11,12,"11 X 1","11 + 1"
6,4,24,10,"6 X 4","6 + 4"
