"","Gender","Residence","Nationality","MTurkID","task_comp_check1","task_comp_check2","task_comp_check3","timing_ctrl1a_Page.Submit","timing_ctrl1b_Page.Submit","timing_ctrl2a_Page.Submit","timing_ctrl2b_Page.Submit","timing_ctrl3a_Page.Submit","timing_ctrl3b_Page.Submit","timing_ctrl4a_Page.Submit","timing_ctrl4b_Page.Submit","timing_ctrl5a_Page.Submit","timing_ctrl5b_Page.Submit","prep_timing1a_Page.Submit","prep_timing1b_Page.Submit","prep_timing2a_Page.Submit","prep_timing2b_Page.Submit","prep_timing3a_Page.Submit","prep_timing3b_Page.Submit","prep_timing4a_Page.Submit","prep_timing4b_Page.Submit","prep_timing5a_Page.Submit","prep_timing5b_Page.Submit","prep_timing6a_Page.Submit","prep_timing6b_Page.Submit","prep_timing7a_Page.Submit","prep_timing7b_Page.Submit","prep_timing8a_Page.Submit","prep_timing8b_Page.Submit","prep.timing9a_Page.Submit","prep.timing9b_Page.Submit","prep.timing10a_Page.Submit","prep.timing10b_Page.Submit","prep_timing11_Page.Submit","prep.tming11b_Page.Submit","prep.timing12a_Page.Submit","prep.timing12b_Page.Submit","Comp_check_PR1","comp_check_PR2","Comp_check_comp1","Comp_check_comp2","Comp_check_comp3","Comp_check_comp4","choice_tourn_first2","choice_PR_first2","extra_prep1","extra.prep2","extraprep3","extraprep4","extraprep5","conf_rank","gender_perform","task_gender_prep","gender_compete","risk","preparedness","gen_gender_prep","fatigue_1","fatigue_2","fab_1","fab_2","fab_3","fab_4","fab_5","fab_6","interest","Age","Race.ethnicity","Race.ethnicity_7_TEXT","ownincome","education","unclear","Condition","score_before_task","unlimited_prep_score","taskscore.x","task_comp_check_acc","pay_comp_check_acc","n_comp_wrong","extra_prep_count","comp_choice","total_time","time_qs","perf_fixed","extraprep_count_time","perf_extra","fab","fati","bonus_assn","bonus_qs","percent_rank","conf_accuracy","taskscore.y","PR_pay","taskscore","difference_score","W_L","tourn_payment","combined_pay","total_bonus"
"1","Female","United States","American","A3APMO8WXVH1V0","48","","",16.333,1.909,11.054,1.414,11.807,1.015,10.798,1.768,12.498,1.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","No","","","","",0.5,"Women","Women","Men",2,"No","Women",3,3,5,5,6,5,5,4,6,27,"White/Caucasian","","$20,000 to $30,000","Some College","","Control",4,NA,67,0,3,3,0,"Piece-rate",69.637,62.49,0.0640102416386622,0,NA,5,3,4,0.1,0.825365853658537,"correct",67,6.7,NA,NA,NA,NA,6.7,6.8
"2","Male","United States","American","A3R20AEJRD29WW","48","","",19.065,3.489,13.601,1.372,27.704,0.994,14.652,0.89,18.7555,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$24 ","$0 ","","Tournament (where you will earn $.20 for every problem solved correctly only if you win)","No","","","","",0.8,"Men","Men","Men",7,"No","Women",4,3,4,4,4,5,4,4,4,25,"East Asian","","$60,000 to $70,000","Bachelor's Degree","","Control",4,NA,56,0,4,4,0,"Tournament",101.3245,93.7775,0.0426541547812642,0,NA,4.16666666666667,3.5,3,0.1,0.689756097560976,"incorrect",NA,NA,NA,NA,NA,NA,0,0.1
"3","Male","United States","American","A229SEF35EGTSF","48","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.985,1.873,15.046,1.913,14.6,1.454,16.285,2.105,12.45,2.06,17.512,1.75,20.421,2.573,22.1,2.619,30.67,1.998,11.707,1.724,24.53,5.254,20.402,2.655,"$12 ","","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.6,"Men","Women","Men",5,"No","Women",5,5,6,6,6,4,6,6,5,47,"White/Caucasian","","$100,000 to $200,00","Graduate Degree","no","Prepare",56,NA,56,0,3,3,0,"Piece-rate",243.686,215.708,0.259610213807555,0,NA,5.66666666666667,5,4,0.1,0.689756097560976,"correct",56,5.6,NA,NA,NA,NA,5.6,5.7
"4","Male","United States","American","A2OQMY85Q2WY68","48","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.555,4.152,18.289,7.695,16.808,4.333,15.392,4.555,15.82,2.5,19.684,5.096,19.066,3.495,23.816,4.976,17.66,6.126,14.321,3.347,15.865,3.151,21.611,4.615,"$12 ","","$24 ","","$0 ","","Tournament (where you will earn $.20 for every problem solved correctly only if you win)","","No","","","","",0.9,"Men","Women","Men",8,"No","Women",2,2,6,6,2,2,6,6,7,53,"White/Caucasian","","Less than $10,000","Some College","","Prepare",57,NA,50,0,3,3,0,"Tournament",267.928,213.887,0.266495859963439,0,NA,4.66666666666667,2,3,0.1,0.584390243902439,"incorrect",NA,NA,50,47,"win",10,10,10.1
"5","Male","United States","American","A1Z8MLYCF9P3A4","48","","",137.211,6.509,50.527,14.652,17.457,3.025,15.94,15.896,55.28375,3.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.25 ","$14 ","$24 ","","$24 ","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","Yes","Yes","Yes","No","",0.9,"Men","Men","Men",9,"Yes","Men",2,4,5,4,2,5,5,3,6,27,"Black/African-American","","$20,000 to $30,000","Bachelor's Degree","GOOD","Control",4,47,14,0,5,5,3,"Piece-rate",320.24275,276.41875,0.0144707983810794,360,0.130555555555556,4,3,4,0,0.0214634146341463,"incorrect",14,1.4,NA,NA,NA,NA,1.4,1.4
"6","Male","United States","American","A3GM1ALJEW98WN","48","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.615,1.5,12.485,1.49,35.3,10.151,19.959,1.114,19.691,1.664,22.733,1.23,26.063,1.001,27.923,0.819,22.985,1.208,13.362,1.644,17.963,1.787,26.543,1.405,"$1.20 ","$14 ","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","No","","","","",0.3,"Men","Men","Men",3,"No","Men",2,2,5,6,2,6,6,5,6,25,"White/Caucasian","","$30,000 to $40,000","Vocational Training","","Prepare",56,NA,21,0,4,4,0,"Piece-rate",278.635,253.622,0.220801034610562,0,NA,5,2,1,0.1,0.0565853658536585,"incorrect",21,2.1,NA,NA,NA,NA,2.1,2.2
"7","Male","United States","American","AHOQWPD49OMW3","48","","",20.385,3.631,15.33,2.647,13.792,3.313,12.501,2.886,15.502,1.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","","Tournament (where you will earn $.20 for every problem solved correctly only if you win)","No","","","","",0.5,"Men","Women","Men",10,"No","Women",4,4,7,4,1,1,7,7,6,46,"White/Caucasian","","$80,000 to $90,000","Bachelor's Degree","","Control",5,NA,25,0,3,3,0,"Tournament",91.689,77.51,0.0645078054444588,0,NA,4.5,4,4,0,0.0995121951219512,"incorrect",NA,NA,NA,NA,NA,NA,0,0
"8","Male","United States","American","A12ASB8854TT4","48","","",12.807,1.889,11.752,1.045,12.73,7.761,11.248,1.234,12.13425,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.7,"Men","Women","Men",3,"No","Women",2,2,2,1,1,1,2,3,6,32,"White/Caucasian","","$20,000 to $30,000","High School Diploma","","Control",5,NA,45,0,3,3,0,"Piece-rate",73.44125,60.67125,0.0824113562848961,0,NA,1.66666666666667,2,1,0.1,0.484878048780488,"incorrect",45,4.5,NA,NA,NA,NA,4.5,4.6
"9","Female","United States","American","A24Z8V5IV2VJ8F","48","","",19.15,2.492,15.046,1.399,15.242,2.392,12.119,1.482,15.38925,0.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","No","","","","",0.4,"Women","Women","Men",2,"No","Women",2,2,2,2,3,2,3,3,4,37,"East Asian","","$30,000 to $40,000","Bachelor's Degree","","Control",4,NA,60,0,3,3,0,"Piece-rate",85.62425,76.94625,0.0519843397176601,0,NA,2.5,2,2,0.1,0.739512195121952,"correct",60,6,NA,NA,NA,NA,6,6.1
"10","Female","United States","American","A2DSSNN45FH4PG","48","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.106,1.822,12.702,1.629,13.822,2.201,23.406,1.481,17.631,2.781,16.111,1.655,30.988,1.92,18.96,2.662,18.548,3.1,26.839,5.949,16.729,1.319,30.043,2.186,"$0.25 ","$14 ","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","Yes","No","","","",0.1,"Women","Men","Men",2,"No","Women",6,6,2,3,4,5,2,2,2,53,"White/Caucasian","","Less than $10,000","Some College","No.","Prepare",57,32,38,0,4,4,1,"Piece-rate",267.59,238.885,0.238608535487787,120,0.266666666666667,3,6,4,0.1,0.325853658536585,"correct",38,3.8,NA,NA,NA,NA,3.8,3.9
