"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
" 11 - 6"," 16 - 9"," 9 - 1"," 7 - 5"," 18 - 11"," 14 - 9"," 11 - 5"," 10 - 4"," 9 - 6"," 3 - 3"
" 19 - 9"," 13 - 11"," 6 - 1"," 10 - 8"," 15 - 9"," 14 - 8"," 5 - 3"," 5 - 1"," 13 - 10"," 10 - 8"
" 11 - 11"," 15 - 6"," 14 - 10"," 8 - 6"," 17 - 11"," 11 - 11"," 16 - 12"," 9 - 3"," 3 - 3"," 12 - 1"
" 8 - 4"," 14 - 8"," 6 - 6"," 9 - 5"," 19 - 10"," 20 - 11"," 1 - 1"," 7 - 1"," 14 - 7"," 8 - 7"
" 16 - 6"," 11 - 9"," 14 - 12"," 17 - 9"," 8 - 4"," 17 - 12"," 13 - 7"," 15 - 12"," 9 - 9"," 8 - 8"
" 21 - 11"," 17 - 6"," 19 - 10"," 14 - 5"," 3 - 3"," 7 - 2"," 11 - 6"," 4 - 1"," 20 - 12"," 9 - 7"
" 5 - 4"," 7 - 5"," 16 - 9"," 13 - 6"," 8 - 5"," 7 - 4"," 17 - 7"," 2 - 1"," 7 - 1"," 17 - 8"
" 14 - 5"," 14 - 7"," 17 - 8"," 11 - 10"," 18 - 7"," 14 - 11"," 20 - 10"," 6 - 6"," 13 - 8"," 7 - 6"
" 9 - 5"," 8 - 1"," 6 - 2"," 8 - 3"," 6 - 3"," 2 - 1"," 14 - 11"," 8 - 5"," 13 - 4"," 6 - 3"
" 10 - 7"," 10 - 7"," 15 - 7"," 18 - 12"," 4 - 4"," 11 - 9"," 22 - 12"," 17 - 6"," 6 - 4"," 18 - 10"
" 5 - 2"," 16 - 5"," 8 - 6"," 12 - 6"," 14 - 3"," 12 - 5"," 5 - 5"," 14 - 8"," 11 - 6"," 11 - 6"
" 18 - 11"," 15 - 11"," 17 - 10"," 3 - 3"," 8 - 6"," 5 - 5"," 1 - 1"," 13 - 4"," 8 - 8"," 7 - 5"
" 5 - 3"," 13 - 8"," 17 - 9"," 11 - 6"," 3 - 3"," 10 - 5"," 3 - 3"," 8 - 8"," 5 - 2"," 18 - 11"
" 8 - 7"," 17 - 11"," 20 - 12"," 10 - 3"," 8 - 7"," 17 - 12"," 11 - 6"," 4 - 1"," 9 - 1"," 3 - 1"
" 8 - 8"," 4 - 2"," 6 - 3"," 14 - 9"," 19 - 10"," 12 - 3"," 5 - 2"," 8 - 5"," 12 - 10"," 19 - 11"
" 12 - 11"," 19 - 10"," 19 - 9"," 14 - 9"," 5 - 1"," 16 - 10"," 10 - 4"," 9 - 9"," 12 - 5"," 20 - 11"
" 7 - 5"," 12 - 9"," 4 - 1"," 14 - 4"," 15 - 7"," 7 - 7"," 9 - 3"," 11 - 7"," 20 - 11"," 13 - 5"
" 14 - 10"," 15 - 11"," 8 - 8"," 14 - 6"," 4 - 3"," 11 - 3"," 11 - 10"," 8 - 7"," 22 - 11"," 14 - 11"
" 15 - 8"," 18 - 12"," 17 - 11"," 16 - 8"," 10 - 8"," 20 - 12"," 13 - 10"," 10 - 4"," 16 - 11"," 4 - 1"
" 2 - 2"," 16 - 12"," 11 - 7"," 8 - 1"," 14 - 10"," 11 - 11"," 10 - 9"," 5 - 3"," 6 - 3"," 10 - 1"
" 10 - 5"," 4 - 1"," 6 - 4"," 6 - 5"," 12 - 8"," 13 - 9"," 16 - 6"," 20 - 10"," 11 - 9"," 11 - 2"
" 17 - 12"," 3 - 1"," 7 - 6"," 13 - 3"," 12 - 5"," 11 - 8"," 20 - 10"," 19 - 11"," 6 - 4"," 19 - 8"
" 9 - 4"," 4 - 1"," 12 - 7"," 10 - 2"," 12 - 10"," 16 - 11"," 15 - 9"," 10 - 5"," 19 - 9"," 22 - 11"
" 17 - 10"," 5 - 3"," 13 - 7"," 10 - 4"," 19 - 9"," 5 - 1"," 9 - 3"," 8 - 4"," 10 - 7"," 12 - 4"
" 8 - 1"," 20 - 11"," 12 - 1"," 6 - 6"," 14 - 8"," 13 - 5"," 11 - 5"," 15 - 6"," 16 - 10"," 12 - 6"
" 10 - 10"," 5 - 2"," 5 - 2"," 11 - 7"," 13 - 10"," 2 - 2"," 16 - 8"," 7 - 7"," 14 - 6"," 13 - 6"
