"workerId","task_score","gender","gender_other","task_comp_check1","task_comp_check2","task_comp_check3","task_comp_check_acc","practice_problems_binary","perc_practice_all","perc_practice_men","perc_practice_women","conf_rank","better_gender_guess","perc_task_gender_pract","perc_gender_comp_F","perc_gender_comp_M","risk","perc_gen_gender_pract","age","education","condition","extra_practice_rounds_count","practice_nonempty","fraud","Q_RecaptchaScore","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RelevantIDFraudScore","total_pract_time","Finished","perceived_pract_dev","perceived_pract_dev_F","perceived_pract_dev_M"
"A2DLYBXZNSSJ4S",4,"Man",NA,"48",NA,NA,0,"No",0,0,0,0,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","8","Women prepare more than men",27,"Master's degree (MA, MS, MENG, MSW, etc)","tournament",0,0,0,0.699999988079071,NA,0,0,0,TRUE,0,0,0
"AEWPAZBYA7XE",13,"Man",NA,"48",NA,NA,0,"No",50,50,0,40,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose each payment scheme equally","Men would choose each payment scheme equally","2","There is no difference in how much men and women prepare",43,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,1,NA,NA,NA,0,TRUE,50,0,50
"AW7MY0Z5N1LTI",16,"Woman",NA,"48",NA,NA,0,"Yes",30,20,20,50,"Women correctly solved more multiplication problems than men","Men were more likely to practice/study than women","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","7","There is no difference in how much men and women prepare",23,"High school graduate (GED)","piecerate",0,10,0,1,NA,0,0,56.802,TRUE,-31.4960441141213,-41.4960441141213,-41.4960441141213
"A30HUZHJBOX1LK",18,"Man",NA,"48",NA,NA,0,"No",100,100,100,80,"There was no difference in how many multiplication problems men and women correctly solved","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","8","Women prepare more than men",54,"Master's degree (MA, MS, MENG, MSW, etc)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"A1VFOKKVJ7B9D6",16,"Woman",NA,"48",NA,NA,0,"Yes",50,70,0,60,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose tournament more often than piece rate","Men would choose piece rate more often than tournament","3","Women prepare more than men",46,"Associate's degree (including occupational or academic degrees)","tournament",0,10,1,0.400000005960464,NA,0,5,15.226,TRUE,-11.4960441141213,-61.4960441141213,8.50395588587868
"A33X52IN60MSOE",8,"Man",NA,"48",NA,NA,0,"No",100,100,100,20,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","4","Women prepare more than men",40,"High school graduate (diploma)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"A2G7F8S617H0BB",12,"Man",NA,"48",NA,NA,0,"No",20,20,20,40,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","2","There is no difference in how much men and women prepare",29,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,0.800000011920929,NA,0,5,0,TRUE,20,20,20
"A1UTN872NUHB39",17,"Woman",NA,"48",NA,NA,0,"No",80,80,80,60,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose each payment scheme equally","Men would choose tournament more often than piece rate","8","Women prepare more than men",25,"Bachelor's degree (BA, BS, etc)","piecerate",0,0,1,0.899999976158142,NA,0,85,0,TRUE,80,80,80
"ASCBDA9UZWQA6",6,"Woman",NA,"48",NA,NA,0,"Yes",70,70,60,20,"There was no difference in how many multiplication problems men and women correctly solved","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","0","Women prepare more than men",45,"High school graduate (diploma)","tournament",0,10,0,0.899999976158142,NA,0,0,69.015,TRUE,8.50395588587868,-1.49604411412132,8.50395588587868
"A39K5MR4MCSC56",19,"Man",NA,"48",NA,NA,0,"No",100,100,100,80,"Men correctly solved more multiplication problems than women","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","9","There is no difference in how much men and women prepare",33,"Bachelor's degree (BA, BS, etc)","piecerate",0,0,1,0.400000005960464,NA,0,25,0,TRUE,100,100,100
