SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,Expected Completion Code,Gender,GenderConsistency,Feedback
351158,ASM6WO4RKN6LA,3NLZY2D53QDHS2GK3QHNS6BL9O6LQA,180,3/9/2022 10:51:52 PM,3/9/2022 10:54:52 PM,Approved,1.20,0.00,0.119600,47LBHGDDL54,47LBHGDDL54,Male,100.00 %,
351158,A3D943YJI95XZY,3QIYRE09Y45JZYZOUO7N4X7267F1NY,182,3/9/2022 10:52:41 PM,3/9/2022 10:55:43 PM,Approved,1.20,0.00,0.119600,47F77ZYY45,47F77ZYY45,Male,100.00 %,
351158,A3NHBXYOMMJ2W6,386PBUZZXGL06FC780XEV5ZZVTEJLH,261,3/9/2022 10:51:41 PM,3/9/2022 10:56:02 PM,Approved,1.20,0.00,0.119600,47JZECGU85,47JZECGU85,Female,100.00 %,
351158,A2J1ANUL0BYKUK,3NL0RFNU0GBZJRB4KTY9A3X1OWJK4O,214,3/9/2022 10:52:30 PM,3/9/2022 10:56:04 PM,Approved,1.20,0.00,0.119600,47JAKJUL54,47JAKJUL54,Male,100.00 %,
351158,A9KUDJIUCERON,3H7Z272LX8VWSQF53D2YS1LB4SKLPJ,261,3/9/2022 10:51:50 PM,3/9/2022 10:56:11 PM,Approved,1.20,0.00,0.119600,47LB2FV2754,47LB2FV2754,Male,100.00 %,
351158,A2N533GEQEZ7ZB,3YT88D1N09ME1VS0KFTQ0Y5VAWNK33,242,3/9/2022 10:52:30 PM,3/9/2022 10:56:32 PM,Approved,1.20,0.00,0.119600,47KVTVNT54,47KVTVNT54,Female,100.00 %,
351158,A2L2E6J3D23CN4,3RGU30DZTBWKCXUS8CYTVIEOVY4JMJ,296,3/9/2022 10:51:42 PM,3/9/2022 10:56:38 PM,Approved,1.20,0.00,0.119600,47JEYUWDR5,47JEYUWDR5,Male,100.00 %,
351158,A1E6ATEW6RQJ5X,38YMOXR4MVN4TE9ZSVARVCBA7UYW6H,250,3/9/2022 10:52:30 PM,3/9/2022 10:56:40 PM,Approved,1.20,0.00,0.119600,47WARZ44Y54,47WARZ44Y54,Male,100.00 %,
351158,A2AAY4VT9L71SY,3NPI0JQDAPTKB3NACM4PESVSY56PTQ,165,3/9/2022 10:54:15 PM,3/9/2022 10:57:00 PM,Approved,1.20,0.00,0.119600,47PSPAKDP54,47PSPAKDP54,Male,100.00 %,
351158,A18T3WK7J16C1B,3I33IC7ZWGQJ40NV4O2WNAX7Z6T2AV,334,3/9/2022 10:51:27 PM,3/9/2022 10:57:01 PM,Approved,1.20,0.00,0.119600,4727WNGCI5,4727WNGCI5,Female,100.00 %,
351158,A2SLEMDA17XTZ1,345LHZDEDYGS4RXCETXS6LETCNL3UJ,233,3/9/2022 10:53:15 PM,3/9/2022 10:57:08 PM,Approved,1.20,0.00,0.119600,473TSCSEL45,473TSCSEL45,,,
351158,A204Q4T20BP8V,3GLB5JMZFYJ7H1YENDENFFZEUSVGDU,313,3/9/2022 10:52:01 PM,3/9/2022 10:57:14 PM,Approved,1.20,0.00,0.119600,47GENEJML54,47GENEJML54,Male,100.00 %,
351158,A1S13X9UM2B0CT,3KV0LJBBH391ALD5GH72X90F5FYRMJ,250,3/9/2022 10:53:09 PM,3/9/2022 10:57:19 PM,Approved,1.20,0.00,0.119600,47RF7D3J36,47RF7D3J36,Male,100.00 %,
351158,A1HYFB36R5PI0T,308XBLVESJS5RU98PSHTJTPLTGUBRE,247,3/9/2022 10:53:31 PM,3/9/2022 10:57:38 PM,Approved,1.20,0.00,0.119600,47BLT85EX54,47BLT85EX54,Female,100.00 %,
351158,A2I37S7GQR6X1H,3PS7W85Z80QZJG73VX8SS2VDT1O9TF,371,3/9/2022 10:51:27 PM,3/9/2022 10:57:38 PM,Approved,1.20,0.00,0.119600,4792XG8W36,4792XG8W36,Male,100.00 %,
351158,ANO4UVU9I3OPY,3F6HPJW4JEOGBDQY5TYO5ZUYRPWW20,330,3/9/2022 10:52:15 PM,3/9/2022 10:57:45 PM,Approved,1.20,0.00,0.119600,47WUTDJP36,47WUTDJP36,Female,100.00 %,
351158,A5CIHEPULDFUF,33LK57MYLUTDA7C1AVX1VL1K6LZZSW,263,3/9/2022 10:53:29 PM,3/9/2022 10:57:52 PM,Approved,1.20,0.00,0.119600,47ZKVAL536,47ZKVAL536,Male,100.00 %,
351158,A1X6N7VH0PP69T,3VW6495TLKOA13E5DFN7Z0GJHCRYYI,329,3/9/2022 10:52:36 PM,3/9/2022 10:58:05 PM,Approved,1.20,0.00,0.119600,47YJNEL436,47YJNEL436,,,
351158,A3JHXEH79DJ83L,3JMSRU9HQJIVR42983OTLYK9HJKEVA,386,3/9/2022 10:51:49 PM,3/9/2022 10:58:15 PM,Approved,1.20,0.00,0.119600,47E9T2I9M54,47E9T2I9M54,,,
351158,A39HTBZLKVUM49,3GM6G9ZBKOLEQ0QXK6CXXO1XT0VTMY,357,3/9/2022 10:52:21 PM,3/9/2022 10:58:18 PM,Approved,1.20,0.00,0.119600,47TXKEZM54,47TXKEZM54,Female,100.00 %,
351158,A20S6YBD2VKCZU,3WMINLGALCRW2IFX1HR2ZN6TBX6CAE,227,3/9/2022 10:54:43 PM,3/9/2022 10:58:30 PM,Approved,1.20,0.00,0.119600,47CT2FRGM54,47CT2FRGM54,Female,100.00 %,
351158,AMOBC1D09Q381,3RXPCZQMQQZDP6I27KUSEDY55VSG14,415,3/9/2022 10:51:40 PM,3/9/2022 10:58:35 PM,Approved,1.20,0.00,0.119600,47SYUIZQX54,47SYUIZQX54,Male,100.00 %,
